model,rca_max_nodes,rca_max_hops,selected_nodes,mode,S_nodes,S_items,returned_items_total_ranked,gt_core_size,gt_ext_size,core_tp,core_precision,core_recall,core_f1,ext_tp,ext_precision,ext_recall,ext_f1,core_tp@5,core_P@5,core_R@5,core_k_used@5,ext_tp@5,ext_P@5,ext_R@5,ext_k_used@5,core_Hit@5,core_hit_k_used@5,core_tp@10,core_P@10,core_R@10,core_k_used@10,ext_tp@10,ext_P@10,ext_R@10,ext_k_used@10,core_Hit@10,core_hit_k_used@10,core_tp@20,core_P@20,core_R@20,core_k_used@20,ext_tp@20,ext_P@20,ext_R@20,ext_k_used@20,core_Hit@20,core_hit_k_used@20,core_tp@50,core_P@50,core_R@50,core_k_used@50,ext_tp@50,ext_P@50,ext_R@50,ext_k_used@50,core_Hit@50,core_hit_k_used@50,max_hop_selected,p90_hop_selected,mean_hop_selected,ablation
contrastive,5000,1,1,or_duplicates,1,1,1,32,40,1,1.0,0.03125,0.06060606060606061,1,1.0,0.025,0.04878048780487806,1,1.0,0.03125,1,1,1.0,0.025,1,1,1,1,1.0,0.03125,1,1,1.0,0.025,1,1,1,1,1.0,0.03125,1,1,1.0,0.025,1,1,1,1,1.0,0.03125,1,1,1.0,0.025,1,1,1,1,1.0,1.0,hop_sensitivity
contrastive,5000,2,3,or_duplicates,3,3,3,32,40,1,0.3333333333333333,0.03125,0.05714285714285714,1,0.3333333333333333,0.025,0.046511627906976744,1,0.3333333333333333,0.03125,3,1,0.3333333333333333,0.025,3,1,3,1,0.3333333333333333,0.03125,3,1,0.3333333333333333,0.025,3,1,3,1,0.3333333333333333,0.03125,3,1,0.3333333333333333,0.025,3,1,3,1,0.3333333333333333,0.03125,3,1,0.3333333333333333,0.025,3,1,3,2,2.0,1.6666666666666667,hop_sensitivity
contrastive,5000,3,5,or_duplicates,5,5,5,32,40,1,0.2,0.03125,0.05405405405405406,2,0.4,0.05,0.0888888888888889,1,0.2,0.03125,5,2,0.4,0.05,5,1,5,1,0.2,0.03125,5,2,0.4,0.05,5,1,5,1,0.2,0.03125,5,2,0.4,0.05,5,1,5,1,0.2,0.03125,5,2,0.4,0.05,5,1,5,3,3.0,2.2,hop_sensitivity
contrastive,5000,5,10,or_duplicates,10,9,9,32,40,3,0.3333333333333333,0.09375,0.14634146341463417,5,0.5555555555555556,0.125,0.20408163265306123,2,0.4,0.0625,5,2,0.4,0.05,5,1,5,3,0.3333333333333333,0.09375,9,5,0.5555555555555556,0.125,9,1,9,3,0.3333333333333333,0.09375,9,5,0.5555555555555556,0.125,9,1,9,3,0.3333333333333333,0.09375,9,5,0.5555555555555556,0.125,9,1,9,5,5.0,3.4,hop_sensitivity
contrastive,5000,10,29,or_duplicates,29,22,22,32,40,9,0.4090909090909091,0.28125,0.3333333333333333,15,0.6818181818181818,0.375,0.48387096774193555,2,0.4,0.0625,5,2,0.4,0.05,5,1,5,7,0.7,0.21875,10,7,0.7,0.175,10,1,10,9,0.45,0.28125,20,15,0.75,0.375,20,1,20,9,0.4090909090909091,0.28125,22,15,0.6818181818181818,0.375,22,1,22,10,10.0,6.482758620689655,hop_sensitivity
contrastive,5000,25,78,or_duplicates,78,59,59,32,40,23,0.3898305084745763,0.71875,0.5054945054945055,29,0.4915254237288136,0.725,0.5858585858585859,2,0.4,0.0625,5,2,0.4,0.05,5,1,5,7,0.7,0.21875,10,7,0.7,0.175,10,1,10,9,0.45,0.28125,20,15,0.75,0.375,20,1,20,21,0.42,0.65625,50,27,0.54,0.675,50,1,50,25,22.299999999999997,13.602564102564102,hop_sensitivity
contrastive,5000,50,253,or_duplicates,253,234,234,32,40,24,0.10256410256410256,0.75,0.1804511278195489,30,0.1282051282051282,0.75,0.218978102189781,2,0.4,0.0625,5,2,0.4,0.05,5,1,5,7,0.7,0.21875,10,7,0.7,0.175,10,1,10,9,0.45,0.28125,20,15,0.75,0.375,20,1,20,21,0.42,0.65625,50,27,0.54,0.675,50,1,50,50,50.0,35.209486166007906,hop_sensitivity
contrastive,5000,100,4999,or_duplicates,4999,4869,4869,32,40,24,0.004929143561306223,0.75,0.009793919608243214,32,0.006572191415074964,0.8,0.01303727846811978,2,0.4,0.0625,5,2,0.4,0.05,5,1,5,7,0.7,0.21875,10,7,0.7,0.175,10,1,10,9,0.45,0.28125,20,15,0.75,0.375,20,1,20,21,0.42,0.65625,50,27,0.54,0.675,50,1,50,100,92.0,73.58131626325265,hop_sensitivity
contrastive,5000,150,4999,or_duplicates,4999,4824,4824,32,40,29,0.0060116086235489224,0.90625,0.011943986820428338,37,0.007669983416252073,0.925,0.015213815789473685,2,0.4,0.0625,5,2,0.4,0.05,5,1,5,7,0.7,0.21875,10,7,0.7,0.175,10,1,10,9,0.45,0.28125,20,15,0.75,0.375,20,1,20,21,0.42,0.65625,50,27,0.54,0.675,50,1,50,150,99.0,76.08241648329665,hop_sensitivity
contrastive,5000,None,4999,or_duplicates,4999,4385,4385,32,40,32,0.007297605473204105,1.0,0.014489472492642064,40,0.009122006841505131,1.0,0.01807909604519774,2,0.4,0.0625,5,2,0.4,0.05,5,1,5,7,0.7,0.21875,10,7,0.7,0.175,10,1,10,9,0.45,0.28125,20,15,0.75,0.375,20,1,20,21,0.42,0.65625,50,27,0.54,0.675,50,1,50,386,244.0,105.18263652730546,hop_sensitivity
